	21123	POS
jingle	3	POS
unrelentingly	4	POS
ito	1	POS
gianni	6	POS
guanajuato	1	POS
factly	2	POS
ity	1	POS
meatwad	1	POS
insatiable	11	POS
waterfall	24	POS
its	4303	POS
unreadable	2	POS
itv	3	POS
lawrence	54	POS
superfluous	10	POS
ran	117	POS
winningham	5	POS
NOT_winfrey	1	POS
inversion	1	POS
verite	9	POS
clicked	10	POS
NOT_setting	8	POS
NOT_programmed	2	POS
prosecution	7	POS
homogeneous	1	POS
NOT_curious	3	POS
spoofs	21	POS
inspired	220	POS
verity	2	POS
stylishly	8	POS
sabu	36	POS
NOT_wally	1	POS
rao	20	POS
burrough	1	POS
gervais	10	POS
NOT_arguing	1	POS
ato	1	POS
tough	275	POS
amature	1	POS
excpet	1	POS
smothered	1	POS
repelled	1	POS
signing	10	POS
jumped	32	POS
modelled	2	POS
pittsburgh	7	POS
behooves	1	POS
holoband	1	POS
whooping	3	POS
NOT_nostalgic	3	POS
mauling	2	POS
viciousness	3	POS
NOT_esposito	2	POS
comparance	1	POS
NOT_expedition	1	POS
oingo	1	POS
legged	11	POS
sumpter	9	POS
cleared	7	POS
NOT_musseum	1	POS
NOT_hardcover	1	POS
NOT_statistics	1	POS
bukowski	1	POS
pinning	2	POS
visualising	1	POS
ideally	11	POS
hypnotism	3	POS
drawbacks	9	POS
klever	4	POS
bodybag	1	POS
tearjerker	13	POS
installations	3	POS
collegiates	1	POS
yasmin	11	POS
americas	6	POS
squirts	2	POS
clarity	25	POS
american	1193	POS
babyface	3	POS
sinful	4	POS
NOT_canada	2	POS
hypnotist	6	POS
reaped	2	POS
NOT_warriors	1	POS
eragorn	1	POS
payoff	16	POS
values	226	POS
cathedrals	4	POS
haim	7	POS
civilians	16	POS
petrified	6	POS
applauding	4	POS
graying	1	POS
enoy	1	POS
oedipal	4	POS
goofier	1	POS
youthfully	1	POS
NOT_return	12	POS
activated	1	POS
joseph	147	POS
directs	69	POS
peary	2	POS
claus	13	POS
NOT_riding	2	POS
pears	2	POS
avonlea	2	POS
dweeb	3	POS
pearl	44	POS
NOT_accompaniment	2	POS
zacatecas	1	POS
midwest	7	POS
louts	2	POS
NOT_hurt	47	POS
NOT_mods	1	POS
automatic	10	POS
cellan	1	POS
NOT_mindedness	1	POS
remer	7	POS
sonar	1	POS
glide	1	POS
hangers	2	POS
relocate	5	POS
NOT_scaling	1	POS
timeframe	2	POS
potentialities	1	POS
quibble	20	POS
outdated	23	POS
upcomming	1	POS
pentagon	7	POS
legendarily	1	POS
running	399	POS
hermoine	2	POS
beaded	2	POS
forbidden	82	POS
softens	3	POS
terrifies	1	POS
NOT_accuracy	4	POS
caterpillar	3	POS
€	171	POS
kusturika	1	POS
terrified	35	POS
absorbs	4	POS
NOT_djalili	1	POS
NOT_bully	1	POS
clinical	12	POS
sheng	2	POS
ramme	2	POS
sabc	1	POS
licks	1	POS
ballad	13	POS
realists	3	POS
moms	9	POS
abject	1	POS
tyagi	1	POS
interval	8	POS
bert	18	POS
berr	1	POS
conjugal	1	POS
NOT_hazenut	1	POS
NOT_advance	3	POS
rangeland	1	POS
NOT_geologist	1	POS
unobservant	2	POS
NOT_irreverence	1	POS
imperialists	1	POS
momo	7	POS
similarities	60	POS
odile	2	POS
operatives	3	POS
meeker	12	POS
doig	2	POS
unlockables	1	POS
NOT_birtwhistle	1	POS
NOT_jeremy	1	POS
exclusives	1	POS
inexpressible	1	POS
cranny	1	POS
wgbh	1	POS
cellar	10	POS
caused	116	POS
ewoks	31	POS
recopies	1	POS
NOT_propose	1	POS
NOT_sue	3	POS
frolicking	2	POS
NOT_sub	7	POS
cheekily	1	POS
NOT_peanuts	1	POS
NOT_sum	5	POS
dwight	28	POS
disreputable	1	POS
NOT_mundane	3	POS
daves	3	POS
sharaff	2	POS
NOT_escort	1	POS
tish	1	POS
swamp	19	POS
gunnarson	1	POS
follet	1	POS
asunder	3	POS
kilmer	30	POS
NOT_sound	59	POS
deepest	30	POS
oudraogo	1	POS
stowe	20	POS
uncomfortable	64	POS
homicide	37	POS
tangentially	4	POS
misinterprets	1	POS
NOT_manna	1	POS
uncomfortably	9	POS
NOT_ike	1	POS
zhigang	2	POS
wow	158	POS
benetakos	2	POS
NOT_canonized	1	POS
rendered	40	POS
observance	1	POS
NOT_typical	68	POS
prosthesis	1	POS
directionless	4	POS
dental	21	POS
sitka	3	POS
jewels	16	POS
NOT_superior	8	POS
NOT_invading	2	POS
paloozas	1	POS
cantics	1	POS
scopophilia	1	POS
triggered	3	POS
NOT_walls	3	POS
sowing	1	POS
ewanuick	1	POS
comparatively	11	POS
moore	119	POS
nerae	1	POS
readership	1	POS
loooooove	1	POS
rogue	16	POS
marilee	1	POS
moors	2	POS
attic	12	POS
eriksson	6	POS
purveyors	3	POS
zuzz	2	POS
shapiro	10	POS
gazing	3	POS
creature	115	POS
cruella	20	POS
blum	1	POS
fats	2	POS
hopelessly	17	POS
chutzpah	2	POS
darian	2	POS
vegetation	4	POS
sellers	20	POS
plug	20	POS
mexico	115	POS
fata	2	POS
fate	150	POS
melandez	1	POS
recieved	1	POS
sematarty	1	POS
plus	306	POS
acceptence	1	POS
bloomington	1	POS
appearence	2	POS
ludlow	2	POS
NOT_mistresses	1	POS
cowardace	1	POS
vouch	1	POS
alaska	13	POS
picnic	17	POS
divide	9	POS
tally	1	POS
NOT_sworn	1	POS
downscale	1	POS
moebius	1	POS
reject	13	POS
NOT_nude	5	POS
unbuckles	1	POS
move	322	POS
marthe	1	POS
NOT_conniving	3	POS
martha	47	POS
NOT_nostalgia	1	POS
macpherson	1	POS
NOT_lundgren	1	POS
NOT_martyrs	1	POS
marthy	1	POS
NOT_leung	1	POS
wolfpack	1	POS
digging	25	POS
landings	2	POS
NOT_annoying	14	POS
bothers	13	POS
neckett	1	POS
tt0962736	1	POS
foli	1	POS
concurred	3	POS
elvia	1	POS
ministry	5	POS
NOT_rapture	1	POS
NOT_witnesses	1	POS
drusse	4	POS
garai	3	POS
NOT_those	150	POS
NOT_goof	2	POS
NOT_good	587	POS
crusierweight	1	POS
NOT_sidewalk	1	POS
seals	4	POS
NOT_sharif	1	POS
truncheons	1	POS
obvious	374	POS
NOT_exterminator	1	POS
denials	2	POS
rake	1	POS
NOT_reminiscing	1	POS
spills	4	POS
NOT_poles	1	POS
NOT_obscurity	1	POS
patric	14	POS
vedder	1	POS
index	6	POS
megadeth	2	POS
patrik	1	POS
microchips	1	POS
coated	14	POS
connotations	5	POS
schrader	9	POS
pedestrian	12	POS
besiege	1	POS
NOT_barren	2	POS
necronomicon	4	POS
despite	717	POS
frankie	53	POS
carle	1	POS
NOT_dollars	3	POS
frankin	1	POS
kleptomaniac	3	POS
comparable	25	POS
innsbruck	1	POS
NOT_shedding	1	POS
hrabal	1	POS
froid	1	POS
falters	8	POS
nothingness	6	POS
ncos	1	POS
costly	7	POS
NOT_problematic	3	POS
machinations	13	POS
jonathon	4	POS
latimore	1	POS
murderess	4	POS
comparably	1	POS
ridicule	8	POS
projcect	1	POS
deforce	1	POS
spiteful	2	POS
blond	29	POS
individualism	4	POS
jorge	6	POS
serrat	1	POS
waiters	3	POS
pangs	1	POS
NOT_ballerina	1	POS
admittingly	1	POS
declare	8	POS
NOT_freak	2	POS
emaline	1	POS
salvaging	2	POS
fontana	1	POS
harriet	55	POS
chasity	1	POS
NOT_mobsters	1	POS
promise	76	POS
buddhism	7	POS
candidates	21	POS
danish	41	POS
pronounces	1	POS
wavering	5	POS
harried	9	POS
buddhist	9	POS
astound	2	POS
marquis	27	POS
heller	3	POS
unshaven	3	POS
bookend	4	POS
habenera	1	POS
rotld	1	POS
modernist	2	POS
attendance	11	POS
reid	35	POS
tensdoorp	1	POS
rein	1	POS
interlude	12	POS
divvied	1	POS
faris	5	POS
squeezing	4	POS
paurush	1	POS
civil	86	POS
natch	3	POS
quotient	5	POS
snogging	1	POS
kerchief	1	POS
modernism	3	POS
correlation	2	POS
liveliest	1	POS
striken	1	POS
belmondo	4	POS
scandinavian	8	POS
appreciative	12	POS
cybill	13	POS
NOT_denizens	1	POS
condoms	2	POS
gloom	14	POS
interceding	1	POS
strikes	90	POS
paralyze	1	POS
publications	3	POS
flickers	3	POS
butts	8	POS
larcenous	2	POS
matiss	4	POS
svankmajer	1	POS
proportioned	4	POS
flashier	1	POS
dissenter	1	POS
NOT_fatigue	1	POS
empowered	3	POS
starblazers	1	POS
vista	3	POS
hearsay	3	POS
deterctive	1	POS
NOT_beat	18	POS
heartbreaking	64	POS
normative	1	POS
sincerest	3	POS
journeyman	1	POS
muslim	42	POS
NOT_bear	12	POS
NOT_centre	1	POS
garber	6	POS
deceptive	7	POS
rapiers	1	POS
leftists	1	POS
wows	1	POS
afgan	1	POS
NOT_ridiculous	4	POS
goers	33	POS
NOT_versailles	1	POS
NOT_bean	2	POS
chamberland	1	POS
hasty	8	POS
NOT_duller	1	POS
garbed	2	POS
NOT_praised	3	POS
NOT_distracted	1	POS
candy	156	POS
NOT_stacks	1	POS
NOT_department	6	POS
discussable	1	POS
morphed	4	POS
NOT_hammerstein	1	POS
oppositions	2	POS
avni	1	POS
fantastically	24	POS
impersonations	4	POS
NOT_shocked	2	POS
badger	1	POS
touchstone	3	POS
wilding	3	POS
hallways	10	POS
potato	9	POS
lacerations	2	POS
50th	3	POS
movies	3307	POS
ulcerating	1	POS
NOT_richards	1	POS
hasta	2	POS
sebastien	3	POS
bodacious	2	POS
melodramatics	3	POS
movied	1	POS
bettger	1	POS
toyman	1	POS
vulgur	1	POS
alienating	4	POS
reconciliation	14	POS
prancing	2	POS
clutters	11	POS
authoritative	3	POS
once	1219	POS
acid	29	POS
skyline	3	POS
underbelly	15	POS
draining	8	POS
4th	35	POS
reaffirms	2	POS
NOT_shame	1	POS
mackichan	1	POS
sodomy	1	POS
toppers	1	POS
expats	1	POS
grandnes	1	POS
NOT_apart	13	POS
bewitching	5	POS
pleas	8	POS
poster	55	POS
NOT_threads	2	POS
wain	1	POS
NOT_peep	1	POS
leesville	2	POS
longed	9	POS
